                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          1.5000000000000000E+000          1.3500000000000001E+000          5.2000000000000002E-001                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20220830" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             120          8.9112360576338038E+007          5.1841815640176170E-001          3.8475165844403758E+000          1.7846504393467430E+002          1.9701635430357015E+002          1.4909550398261535E+000          1.4250864211229131E+000         -4.9122069909401510E-004         -1.0000000000000000E+000          1.4920438080146035E+000          1.3515510663622086E+000         -9.2655751188941391E+000         -9.2655751188941391E+000         -1.0060124447277017E+001         -9.8999999999999986E+001         -9.3415497603239466E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6049099575787368E-001          1.4172391868652200E+052         -8.9190011449070159E+034          0.0000000000000000E+000         -9.7801857594400498E+033         -7.9409825689630114E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             125          8.9771893942045614E+007          5.1846672377263714E-001          3.8476212536090473E+000          1.7847963580896479E+002          1.9697680297756426E+002          1.4909008610094825E+000          1.4252185857169357E+000         -4.9054122839140642E-004         -1.0000000000000000E+000          1.4916856962083032E+000          1.3516084928590519E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447274150E+001         -9.8999999999999986E+001         -9.3394237371547586E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252325998554E-001          1.4170534284055124E+052         -8.9549827692834747E+034          0.0000000000000000E+000         -9.7748767874956906E+033         -7.9774950905339053E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          9.0433646495543346E+007          5.1851589203651582E-001          3.8477278709432143E+000          1.7849427887166073E+002          1.9693696014900465E+002          1.4908468297985147E+000          1.4253520744630161E+000         -4.9079669127199087E-004         -1.0000000000000000E+000          1.4913251955826028E+000          1.3516661125836946E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447271011E+001         -9.8999999999999986E+001         -9.3394237371553555E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252326114070E-001          1.4168664562740904E+052         -8.9519773734836323E+034          0.0000000000000000E+000         -9.7695241034764192E+033         -7.9750249631359907E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             135          9.1106685773312643E+007          5.1856603680307956E-001          3.8478369533112855E+000          1.7850915869424122E+002          1.9689641891415096E+002          1.4907921044281778E+000          1.4254881062671885E+000         -4.9118818258826909E-004         -1.0000000000000000E+000          1.4909585463275687E+000          1.3517247150592790E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447267071E+001         -9.8999999999999986E+001         -9.3394237371561051E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252326259101E-001          1.4166763596509008E+052         -8.9489215982496232E+034          0.0000000000000000E+000         -9.7640789524687146E+033         -7.9725137030027516E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          9.1784460918281764E+007          5.1861667500591913E-001          3.8479474623255996E+000          1.7852412997653224E+002          1.9685557320181960E+002          1.4907372257063405E+000          1.4256253667663499E+000         -4.9107913899590979E-004         -1.0000000000000000E+000          1.4905893171307125E+000          1.3517837298934754E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447262773E+001         -9.8999999999999986E+001         -9.3394237371569222E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252326417294E-001          1.4164849910609153E+052         -8.9458427056089367E+034          0.0000000000000000E+000         -9.7585834518094686E+033         -7.9699843604279897E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             145          9.2456829791080147E+007          5.1866704872562142E-001          3.8480577433835488E+000          1.7853896870750458E+002          1.9681503426103615E+002          1.4906830144347774E+000          1.4257618016773721E+000         -4.9094306443564213E-004         -1.0000000000000000E+000          1.4902230330898514E+000          1.3518422739959581E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447258152E+001         -9.8999999999999986E+001         -9.3394237371578015E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252326587324E-001          1.4162952139547119E+052         -8.9427883780614789E+034          0.0000000000000000E+000         -9.7531267756045813E+033         -7.9674757005010217E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             150          9.3127705967840478E+007          5.1871744915033746E-001          3.8481684288252098E+000          1.7855376144587134E+002          1.9677456642278969E+002          1.4906291516706145E+000          1.4258982012326338E+000         -4.9092372906201463E-004         -1.0000000000000000E+000          1.4898575622197938E+000          1.3519006881272997E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447253028E+001         -9.8999999999999986E+001         -9.3394237371587767E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252326775957E-001          1.4161059227393551E+052         -8.9397395755951048E+034          0.0000000000000000E+000         -9.7476717501400810E+033         -7.9649724005810962E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             155          9.3803089430439025E+007          5.1876832811266493E-001          3.8482805135022629E+000          1.7856864038764894E+002          1.9673380763227499E+002          1.4905751573873716E+000          1.4260357873944030E+000         -4.9407011800607918E-004         -1.0000000000000000E+000          1.4894896359313832E+000          1.3519594947143534E+000         -9.2637896029478668E+000         -9.2637896029478668E+000         -1.0060124447246679E+001         -9.8999999999999986E+001         -9.3394237371599846E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.5983252327009587E-001          1.4159154249562648E+052         -8.9366746147649157E+034          0.0000000000000000E+000         -9.7421938415175179E+033         -7.9624552306131634E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             160          9.4476284214802086E+007          5.1881909196444476E-001          3.8483926013845964E+000          1.7858345372484811E+002          1.9669320309753854E+002          1.4905215345925549E+000          1.4261730136640616E+000         -4.9411875651721290E-004         -1.0000000000000000E+000          1.4891232490952084E+000          1.3520181107301186E+000         -9.2658447819057042E+000         -9.2658447819057042E+000         -1.0060124447240471E+001         -9.8999999999999986E+001         -9.3418709945520266E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6059067911094893E-001          1.4157258000583431E+052         -8.8888906268001704E+034          0.0000000000000000E+000         -9.7367200831278546E+033         -7.9152186184873851E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             165          9.5159835820651993E+007          5.1887041458981853E-001          3.8485059124409866E+000          1.7859846447177958E+002          1.9665212135674122E+002          1.4904671852283669E+000          1.4263118809487469E+000         -4.9402517896785794E-004         -1.0000000000000000E+000          1.4887526310799284E+000          1.3520776285288838E+000         -9.2658447819057042E+000         -9.2658447819057042E+000         -1.0060124447233427E+001         -9.8999999999999986E+001         -9.3418709945533749E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6059067911355362E-001          1.4155340953724224E+052         -8.8858161418560125E+034          0.0000000000000000E+000         -9.7312024632041994E+033         -7.9126958955355921E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
