model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
125 8444444596.19276 2.17114318356945 9.38107745616008 125.579367632576 93.0217538019083 3.31390644517401 3.80072995379212 -0.641356974740144 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.62966720986534E+052 -1.33517275447698E+034 -1.31766663594907E+034 -1.75061185279171E+032 0 0 0 0 1 2
130 8592141315.07602 2.14523118437607 9.30628780110034 126.082964960385 93.3947888595448 3.28748667398109 3.77042903329043 -0.634859618741611 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.6231580351139E+052 -1.43938098970873E+034 -1.42137826981647E+034 -1.80027198922551E+032 0 0 0 0 1 2
135 8729883094.10856 2.11940026865263 9.23143185590699 126.593124379903 93.7726847258542 3.26104348550993 3.74010125543705 -0.628326204429016 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.61661684762812E+052 -1.55046640015874E+034 -1.53194846125627E+034 -1.85179389024689E+032 0 0 0 0 1 2
140 8858269284.81305 2.09368635217873 9.15661230183522 127.109274405121 94.1550180778673 3.23461315236086 3.7097882213939 -0.621754046915517 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.61005228473076E+052 -1.66887921887451E+034 -1.6498270165447E+034 -1.90522023298015E+032 0 0 0 0 1 2
145 8977856539.9875 2.06812847469657 9.08194263210307 127.630736556626 94.5412863382413 3.20823576650718 3.67953591277402 -0.615153046074708 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.6034740783278E+052 -1.79483117099391E+034 -1.77522569033318E+034 -1.96054806607299E+032 0 0 0 0 1 2
150 9089175660.41475 2.04276633309392 9.00754013519376 128.156768998368 94.9309399987914 3.18195276061612 3.64939184883663 -0.608545128971898 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.59689245652752E+052 -1.92827829788869E+034 -1.90810062060356E+034 -2.01776772851348E+032 0 0 0 0 1 2
155 9192747216.30086 2.01763849226595 8.93352069827648 128.686600614012 95.3234078622309 3.15580507233461 3.61940298110059 -0.601930477305557 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.59031769189613E+052 -2.06954205824235E+034 -2.04877345037357E+034 -2.07686078687782E+032 0 0 0 0 1 2
160 9289103381.82209 1.99277104383257 8.85996516092612 129.219675355823 95.7182780413504 3.12982125859437 3.58960206160267 -0.595316332679282 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.58375709506232E+052 -2.21878832572143E+034 -2.19741015112234E+034 -2.13781745990911E+032 0 0 0 0 1 2
165 9378775139.49016 1.96818189354267 8.7869313407171 129.75557788898 96.115242880726 3.10402174370524 3.56001251504946 -0.588720816734429 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.57721603183438E+052 -2.37591659631993E+034 -2.35391013855821E+034 -2.20064577617174E+032 0 0 0 0 1 2
170 9462312415.47761 1.94386920074643 8.71441899574238 130.294305112631 96.5143000834301 3.07840644221248 3.53063424343268 -0.582128926024575 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.57069472445113E+052 -2.54153098790341E+034 -2.51887712151416E+034 -2.26538663892488E+032 0 0 0 0 1 2
